num_objects,num_cups,num_bottles,entropy_dec_color,entropy_dec_position,entropy_dec_size,split_score_color,split_score_position,split_score_size,label
3,1,2,0.6837215513476247,0.873448387864305,0.6837215513476247,0.9182958340544896,0.9182958340544896,0.9182958340544896,ask_position
9,5,4,0.8793631116691834,1.001637353573518,0.9514005735949973,0.9182958340544896,0.9910760598382222,0.9910760598382222,ask_position
3,1,2,0.9073436719211598,0.9073436719211598,0.0,0.9182958340544896,0.9182958340544896,0.0,ask_any
5,3,2,0.8656582996499207,0.8662438622099367,0.5527760242620365,0.9709505944546686,0.9709505944546686,0.7219280948873623,ask_position
3,1,2,0.44685876454962425,0.44685876454962425,0.44685876454962425,0.9182958340544896,0.9182958340544896,0.9182958340544896,ask_any
8,2,6,0.8081006958147579,0.9421262583598726,0.9400819918026064,0.8112781244591328,1.0,1.0,ask_position
9,3,6,0.8965141229475933,0.9022637615455409,0.920097370563981,0.9910760598382222,0.9910760598382222,0.9182958340544896,ask_size
3,1,2,0.9017943492405813,0.9017943492405813,0.0,0.9182958340544896,0.9182958340544896,0.0,ask_any
3,2,1,0.0,0.23026719152728892,0.23026719152728892,0.0,0.9182958340544896,0.9182958340544896,ask_any
9,3,6,0.9780881545730034,0.9688598718860815,0.7658124837621929,0.9910760598382222,0.9910760598382222,0.7642045065086203,ask_color
10,6,4,0.6495521590962077,0.9242696261116388,0.8541034612404483,0.7219280948873623,1.0,0.9709505944546686,ask_position
4,0,4,0.809241879818781,0.8452095814668892,0.7231771426826836,0.8112781244591328,1.0,0.8112781244591328,ask_position
6,5,1,0.5099457079770444,0.9726202555251153,0.46331971230180713,0.9182958340544896,1.0,0.6500224216483541,ask_position
6,5,1,0.9209818502878064,0.9961744380974094,1.005955872706754,0.9182958340544896,1.0,1.0,ask_size
2,1,1,0.0,0.10008207543778838,0.10008207543778838,0.0,1.0,1.0,ask_any
5,3,2,0.9135903897242377,0.9000274735419627,0.6283903829682116,0.9709505944546686,0.9709505944546686,0.7219280948873623,ask_color
6,1,5,0.917123332063982,0.9993703100078051,0.4937950984737285,0.9182958340544896,1.0,0.6500224216483541,ask_position
2,1,1,0.43646981706410287,0.43646981706410287,0.43646981706410287,1.0,1.0,1.0,ask_any
5,2,3,0.8064474256418122,0.9572073885903418,0.6898435890334695,0.9709505944546686,0.9709505944546686,0.7219280948873623,ask_position
3,2,1,0.6783470069981866,0.8618109447043965,0.6783470069981866,0.9182958340544896,0.9182958340544896,0.9182958340544896,ask_position
7,5,2,0.8619513276816215,0.9829448458000085,0.8388087434895952,0.863120568566631,0.9852281360342515,0.863120568566631,ask_position
9,4,5,1.0045291473851559,0.987309702323063,0.8960695171407418,0.9910760598382222,0.9910760598382222,0.9182958340544896,ask_color
9,5,4,0.9903497712557001,0.9900658922845731,0.8754639842998313,0.9910760598382222,0.9910760598382222,0.9182958340544896,ask_color
4,3,1,0.0,1.0436115031145188,0.7939601387139474,0.0,1.0,0.8112781244591328,ask_position
4,2,2,0.829826337299655,0.806972758134076,0.829826337299655,1.0,1.0,1.0,ask_any
8,3,5,0.624065637690898,0.9396900778032085,0.8535878151357246,0.954434002924965,1.0,0.954434002924965,ask_position
10,3,7,0.9222609764556857,0.6719541194741652,0.8863201457578442,0.9709505944546686,1.0,0.9709505944546686,ask_color
8,5,3,0.7802049002593874,1.0023381811070753,1.0113543067493724,1.0,1.0,1.0,ask_size
7,3,4,0.771468164769282,0.5979776857993166,0.5576012630683673,0.863120568566631,0.9852281360342515,0.863120568566631,ask_color
6,2,4,0.8654028315742222,0.8464939013633652,0.648571298452933,0.9182958340544896,1.0,1.0,ask_color
2,2,0,0.5709929600768897,0.5709929600768897,0.0,1.0,1.0,0.0,ask_any
8,5,3,0.8759330854410643,0.8723094202704758,0.9306606617205302,1.0,1.0,0.954434002924965,ask_size
7,3,4,0.9139423958232284,0.9155990986532674,0.7192707853101805,0.9852281360342515,0.9852281360342515,0.863120568566631,ask_position
8,5,3,0.37428326710121285,1.0822312361994362,0.9137060521910578,0.5435644431995964,1.0,1.0,ask_position
5,1,4,0.9636569412138178,0.9373867535454272,0.7160885279014579,0.9709505944546686,0.9709505944546686,0.7219280948873623,ask_color
5,0,5,0.6377429602796392,0.9708954284162168,0.6281443068003909,0.7219280948873623,0.9709505944546686,0.9709505944546686,ask_position
10,6,4,0.8542647605918927,0.9332727701782835,0.9524209812446309,0.9709505944546686,1.0,1.0,ask_size
3,0,3,0.0,0.3320140249288823,0.6625867152762503,0.0,0.9182958340544896,0.9182958340544896,ask_size
