image_index,histogram
0,"{'color': {'blue': 1, 'green': 1, 'cyan': 1, 'brown': 2, 'gray': 1}, 'shape': {'cube': 3, 'cylinder': 2, 'sphere': 1}, 'size': {'large': 4, 'small': 2}, 'texture': {'rubber': 3, 'metal': 3}, 'RtoL_position': {'left': 3, 'right': 3}, 'FtoB_position': {'front': 3, 'back': 3}}"
1,"{'color': {'gray': 2, 'green': 1, 'yellow': 3, 'blue': 1, 'red': 1, 'brown': 1}, 'shape': {'cube': 3, 'sphere': 5, 'cylinder': 1}, 'size': {'large': 2, 'small': 7}, 'texture': {'rubber': 7, 'metal': 2}, 'RtoL_position': {'left': 5, 'right': 4}, 'FtoB_position': {'front': 4, 'back': 5}}"
2,"{'color': {'gray': 1, 'yellow': 1, 'blue': 1}, 'shape': {'sphere': 2, 'cube': 1}, 'size': {'small': 1, 'large': 2}, 'texture': {'metal': 2, 'rubber': 1}, 'RtoL_position': {'left': 2, 'right': 1}, 'FtoB_position': {'front': 1, 'back': 2}}"
3,"{'color': {'gray': 1, 'purple': 2, 'yellow': 1, 'cyan': 3, 'blue': 1, 'green': 1, 'brown': 1}, 'shape': {'cylinder': 2, 'cube': 5, 'sphere': 3}, 'size': {'large': 5, 'small': 5}, 'texture': {'metal': 5, 'rubber': 5}, 'RtoL_position': {'left': 5, 'right': 5}, 'FtoB_position': {'front': 5, 'back': 5}}"
4,"{'color': {'purple': 2, 'cyan': 1}, 'shape': {'sphere': 1, 'cube': 1, 'cylinder': 1}, 'size': {'small': 3}, 'texture': {'metal': 2, 'rubber': 1}, 'RtoL_position': {'left': 2, 'right': 1}, 'FtoB_position': {'front': 1, 'back': 2}}"
5,"{'color': {'yellow': 2, 'cyan': 1, 'purple': 1, 'green': 1, 'red': 1, 'gray': 1, 'brown': 1, 'blue': 1}, 'shape': {'cube': 4, 'sphere': 3, 'cylinder': 2}, 'size': {'large': 6, 'small': 3}, 'texture': {'rubber': 6, 'metal': 3}, 'RtoL_position': {'left': 5, 'right': 4}, 'FtoB_position': {'front': 4, 'back': 5}}"
6,"{'color': {'cyan': 1, 'blue': 1, 'green': 1, 'yellow': 1, 'brown': 1}, 'shape': {'cylinder': 2, 'sphere': 2, 'cube': 1}, 'size': {'large': 4, 'small': 1}, 'texture': {'metal': 2, 'rubber': 3}, 'RtoL_position': {'left': 3, 'right': 2}, 'FtoB_position': {'front': 2, 'back': 3}}"
7,"{'color': {'yellow': 1, 'purple': 3, 'blue': 2, 'green': 1}, 'shape': {'sphere': 2, 'cube': 5}, 'size': {'large': 4, 'small': 3}, 'texture': {'metal': 5, 'rubber': 2}, 'RtoL_position': {'left': 4, 'right': 3}, 'FtoB_position': {'front': 3, 'back': 4}}"
8,"{'color': {'cyan': 1, 'green': 2, 'yellow': 1, 'brown': 1, 'blue': 1}, 'shape': {'cylinder': 1, 'cube': 2, 'sphere': 3}, 'size': {'small': 5, 'large': 1}, 'texture': {'metal': 3, 'rubber': 3}, 'RtoL_position': {'left': 3, 'right': 3}, 'FtoB_position': {'front': 3, 'back': 3}}"
9,"{'color': {'gray': 2, 'cyan': 2, 'yellow': 1}, 'shape': {'cube': 1, 'sphere': 1, 'cylinder': 3}, 'size': {'large': 2, 'small': 3}, 'texture': {'rubber': 4, 'metal': 1}, 'RtoL_position': {'left': 3, 'right': 2}, 'FtoB_position': {'front': 2, 'back': 3}}"
